# p31 sites — machine-readable ledger (tools/string_sites.py --p31-tsv); consumed by lower.py --strings-sites
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=1d3baaf6487a8e3faf4c900e49dbcaae6ddbe1e7f996a47b161c74b502b43477
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir
701641B0	WCMV	701641A7	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701641A7 701641A9 701641AA 701641AC 701641AE	[@wp(ac3, 60), 35 varying] = [@0x70163EEF:0, "\x0BThere aren't any available spells."]
701641D0	WCMV	701641C7	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701641C7 701641C9 701641CA 701641CC 701641CE	[@wp(ac3, 42), 5 varying] = [@0x70163EE9:0, "Fight"]
701641E4	WCMV	701641DB	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701641DB 701641DD 701641DE 701641E0 701641E2	[@wp(ac3, 42), 9 varying] = [@0x70163F1D:0, "\x0A\x0B\x0A\x0B\x0A\x0B\x17\x17\x17"]
701642E9	WCMV	701642E0	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701642E0 701642E2 701642E3 701642E5 701642E7	[@wp(ac3, 88), 75 varying] = [@0x70163EC3:0, "\x0A\x0BThe staff of death suddenly shoots an energy ray, killing your opponent.\x0A"]
7016437E	WCMV	7016434C	CAVE_ATTACK	ASSIGN-STR-VARYING	a	EMIT			70164375 70164377 70164378 7016437A 7016437C	[@wp(ac3, 130), 50 varying] = [@bp(ac3, 176), 50]
701643B2	WCMV	701643A9	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701643A9 701643AB 701643AC 701643AE 701643B0	[@wp(ac3, 60), 43 varying] = [@0x70163E97:0, "\x0A\x0BYour attack has been successfully dodged\x0A"]
70164438	WCMV	701643FB	CAVE_ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+16*N[(W[(fp-6)]+9)]-0XFFFF6CE)]+23) is not a constant or a length word		
70164590	WCMV	70164553	CAVE_ATTACK	ASSIGN-STR-VARYING	a	REFUSE	COMPUTED-OPERAND	opaque op CVWN in an operand: CVWN(ac0@entry)		
70164664	WCMV	70164632	CAVE_ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+6)]+41) is not a constant or a length word		
701646CE	WCMV	701646C5	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701646C5 701646C7 701646C8 701646CA 701646CC	[@wp(ac3, 24), 39 varying] = [@0x70163E4F:0, "\x0A\x0BIt is too confined to run in a cave!\x0A"]
70164708	WCMV	701646FF	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701646FF 70164701 70164702 70164704 70164706	[@wp(ac3, 24), 44 varying] = [@0x70163E39:0, "\x0A\x0BYou cannot teleport while being attacked!\x0A"]
70164859	WCMV	70164850	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			70164850 70164852 70164853 70164855 70164857	[@wp(ac3, 48), 52 varying] = [@0x70163E1F:0, "\x0A\x0BYou cannot concentrate while you are under attack\x0A"]
701648E0	WCMV	701648AE	CAVE_ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+6)]+41) is not a constant or a length word		
7016493E	WCMV	70164935	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			70164935 70164937 70164938 7016493A 7016493C	[@wp(ac3, 24), 38 varying] = [@0x70163E0B:0, "\x0A\x09You do not own Thor's magic hammer!\x0A"]
701649B6	WCMV	70164984	CAVE_ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+6)]+41) is not a constant or a length word		
70164A12	WCMV	70164A09	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			70164A09 70164A0B 70164A0C 70164A0E 70164A10	[@wp(ac3, 24), 35 varying] = [@0x70163DF9:0, "\x0A\x0BYou do not own a staff of death!\x0A"]
70164A28	WCMV	70164A1F	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			70164A1F 70164A21 70164A22 70164A24 70164A26	[@wp(ac3, 48), 62 varying] = [@0x70163DD9:0, "\x0A\x0BThe power of the staff of death cannot be defended against.\x0A"]
70164A58	WCMV	70164A4F	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			70164A4F 70164A51 70164A52 70164A54 70164A56	[@wp(ac3, 6), 33 varying] = [@0x70163DC7:0, "\x0A\x0BYou do not have a magic cloak!\x0A"]
70164B2F	WCMV	70164AFD	CAVE_ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+6)]+48) is not a constant or a length word		
70164BE5	WCMV	70164BDC	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			70164BDC 70164BDE 70164BDF 70164BE1 70164BE3	[@wp(ac3, 48), 53 varying] = [@0x70163D91:0, "\x0A\x0BYou cannot be in a cave when changing the weather.\x0A"]
70164C1D	WCMV	70164BFE	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			70164C14 70164C16 70164C17 70164C19 70164C1B	[@wp(ac3, 24), 37 varying] = [@0x70163D7D:0, "\x0A\x0BYou have weakened the being by 20%\x0A"]
70164C6C	WCMV	70164C63	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			70164C63 70164C65 70164C66 70164C68 70164C6A	[@wp(ac3, 24), 37 varying] = [@0x70163D69:0, "\x0A\x0BYou cannot create a fog in a cave!\x0A"]
701650C8	WCMV	701650BF	DISPLAY_MAP	ASSIGN-LIT-VARYING	a	EMIT			701650BF 701650C1 701650C2 701650C4 701650C6	[@wp(ac3, 3104), 19 varying] = [@0x7016501B:0, "File name for map: "]
7016511D	WCMV	70165102	DISPLAY_MAP	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[0x7000021C]+1) is not a constant or a length word		
70165173	WCMV	70165135	DISPLAY_MAP	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[0x7000021C]+22) is not a constant or a length word		
70165205	WBLM	701651FC	DISPLAY_MAP	-	?	EMIT			701651FF 70165201 70165203	words(@wp(ac3, 64), 0xBE0) = words(@wp(ac3, 62), 0xBE0) ; fill: src = dst - 2 (self-overlapping smear, Census F6)
70165A55	WCMV	70165A55	DEFEND	ASSIGN-LIT-FIXED	a	EMIT				[@ac2, 13] = [@0x701657E1:0, " of strength \x00\x00\x00\x0E..\x0F\x0E:.\x0F\x0E.:\x0F\x0E "]
70165B1D	WCMV	70165B14	DEFEND	ASSIGN-LIT-VARYING	a	EMIT			70165B14 70165B16 70165B17 70165B19 70165B1B	[@wp(ac3, 52), 29 varying] = [@0x701657C5:0, ".\x0A\x0BYour shield protects you!\x0A"]
70165B4F	WCMV	70165B46	DEFEND	ASSIGN-LIT-VARYING	a	EMIT			70165B46 70165B48 70165B49 70165B4B 70165B4D	[@wp(ac3, 94), 59 varying] = [@0x701657A7:0, ".\x0A\x0BA red cloud of smoke appears and the princess vanishes!\x0A"]
70165BE5	WCMV	70165BB4	DEFEND	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+52)]+44) is not a constant or a length word		
70165C1D	WCMV	70165C14	DEFEND	ASSIGN-LIT-VARYING	a	EMIT			70165C14 70165C16 70165C17 70165C19 70165C1B	[@wp(ac3, 52), 29 varying] = [@0x7016577F:0, ".\x0A\x0BYou have been teleported!\x0A"]
70165C7C	WCMV	70165C4A	DEFEND	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+52)]+44) is not a constant or a length word		
70165CC8	WCMV	70165CB6	DEFEND	ASSIGN-LIT-VARYING	a	EMIT			70165CBF 70165CC1 70165CC2 70165CC4 70165CC6	[@wp(ac3, 70), 43 varying] = [@0x70165751:0, "\x0BYour superb constitution softens the blow\x0A"]
70165D58	WCMV	70165D4F	DEFEND	ASSIGN-LIT-VARYING	a	EMIT			70165D4F 70165D51 70165D52 70165D54 70165D56	[@wp(ac3, 70), 44 varying] = [@0x7016572B:0, ".\x0A\x0BYou have successfully dodged the attack.\x0A"]
70165DC4	WCMV	70165DC4	DEFEND	ASSIGN-LIT-FIXED	a	EMIT				[@ac2, 13] = [@0x701657E1:0, " of strength \x00\x00\x00\x0E..\x0F\x0E:.\x0F\x0E.:\x0F\x0E "]
70165EF8	WCMV	70165EC6	DEFEND	ASSIGN-STR-VARYING	a	EMIT			70165EEF 70165EF1 70165EF2 70165EF4 70165EF6	[@wp(ac3, 172), 2092 varying] = [@bp(ac3, 264), 2092]
70165F7F	WCMV	70165F76	DEFEND	ASSIGN-LIT-VARYING	a	EMIT			70165F76 70165F78 70165F79 70165F7B 70165F7D	[@wp(ac3, 70), 44 varying] = [@0x7016572B:0, ".\x0A\x0BYou have successfully dodged the attack.\x0A"]
70166067	WCMV	7016605B	DIED	ASSIGN-LIT-VARYING	b	EMIT			7016605D 7016605F 70166060 70166062 70166064	[@(M32[0x70000210] + (sx16(M16[0x70000216]) * 686) - 0x271), 32 varying] = [@0x7015155A:0, "                                "]
70166084	WCMV	7016606F	DIED	ASSIGN-LIT-VARYING	b	EMIT			7016607A 7016607B 7016607D 7016607F 70166081	[@((sx16(M16[0x70000216]) * 686) + M32[0x70000210] - 0x260), 32 varying] = [@0x7015155A:0, "                                "]
7016635B	WBLM	7016634C	DIED	-	b	EMIT				words(@((sx16(M16[0x70000216]) * 686) + M32[0x70000210] - 86), 90) = words(@((sx16(M16[0x70000216]) * 686) + M32[0x70000210] - 87), 90) ; fill: src = dst - 1 (self-overlapping smear, Census F6)
70166492	WCMV	70166487	DISPLAY_MAGIC	ASSIGN-LIT-VARYING	a	EMIT			70166489 7016648B 7016648C 7016648E 70166490	[@wp(ac3, 28), 92 varying] = [@0x701663DF:0, "\x0CSPELL                         | STATUS\x0A------------------------------|--------------------\x0A"]
701664F6	WCMV	701664F6	DISPLAY_MAGIC	ASSIGN-STR-MIN	c	REFUSE	P32-CAPACITY	dst_count is min(chain total, const), not min(const, source length): phi((N[(fp+28)]+14), 40)		
70166536	WCMV	70166536	DISPLAY_MAGIC	ASSIGN-STR-MIN	c	REFUSE	P32-CAPACITY	dst_count is min(chain total, const), not min(const, source length): phi((N[(fp+78)]+17), 40)		
7016654E	WCMV	70166545	DISPLAY_MAGIC	ASSIGN-LIT-VARYING	c	EMIT			70166545 70166547 70166548 7016654A 7016654C	[@wp(ac3, 6), 14 varying] = [@0x701663BD:0, "Ready for use\x0A"]
7016675A	WCMV	70166752	DISPLAY_CAVE	ASSIGN-STR-VARYING-PAD	b	EMIT			70166752 70166755 70166758	[@0x70000A4E, 7 varying] = [@bp(ac3, 104), 7]
70166794	WCMV	7016678C	DISPLAY_CAVE	ASSIGN-STR-VARYING-PAD	b	EMIT			7016678C 7016678F 70166792	[@0x70000A4E, 7 varying] = [@bp(ac3, 104), 7]
701667F5	WCMV	701667ED	DISPLAY_CAVE	ASSIGN-STR-VARYING-PAD	b	REFUSE	P32-SUBSTR	operand is a phi/min (SUBSTR with a computed length): phi(80, 7)		
70166850	WCMV	70166848	DISPLAY_CAVE	ASSIGN-STR-VARYING-PAD	b	REFUSE	P32-SUBSTR	operand is a phi/min (SUBSTR with a computed length): phi(80, 7)		
701668B1	WCMV	701668A9	DISPLAY_CAVE	ASSIGN-STR-VARYING-PAD	b	REFUSE	P32-SUBSTR	operand is a phi/min (SUBSTR with a computed length): phi(80, (phi(80, 7)+7))		
7016690C	WCMV	70166904	DISPLAY_CAVE	ASSIGN-STR-VARYING-PAD	b	REFUSE	P32-SUBSTR	operand is a phi/min (SUBSTR with a computed length): phi(80, (phi(80, 7)+7))		
7016698B	WCMV	70166982	DISPLAY_CAVE	ASSIGN-FROM-TEMP-VARYING	b	REFUSE	P33-TEMP	WMSP temp operand (temp: sp@701666A3+2 words)		
701669E1	WCMV	701669D9	DISPLAY_CAVE	ASSIGN-STR-VARYING-PAD	b	REFUSE	P32-SUBSTR	operand is a phi/min (SUBSTR with a computed length): phi(80, (N[(W[0x70000210]+0X1EFB9)]+phi(80, (phi(80, (phi(80, 7)+7))+7))+3))		
70166A1B	WCMV	70166A13	DISPLAY_CAVE	ASSIGN-STR-VARYING-PAD	b	REFUSE	P32-SUBSTR	operand is a phi/min (SUBSTR with a computed length): phi(80, (N[(W[0x70000210]+0X1EFB9)]+phi(80, (phi(80, (phi(80, 7)+7))+7))+3))		
70166A4A	WCMP	70166A3E	DISPLAY_CAVE	-	-	REFUSE	P32-SUBSTR	operand is a phi/min (SUBSTR with a computed length): phi(80, (phi(80, (N[(W[0x70000210]+0X1EFB9)]+phi(80, (phi(80, (phi(80, 7)+7))+7))+3))+7))		
70166EE9	WCMV	70166EE9	DISPLAY_SCREEN	ASSIGN-FROM-TEMP	c	REFUSE	P33-TEMP	WMSP temp operand (temp: sp@70166E42+2 words + (+2*>>2((N[(fp+238)]+4))+2*>>2((N[(fp+238)]+5))))		
70166FBC	WCMV	70166FBC	DISPLAY_SCREEN	ASSIGN-FROM-TEMP	c	REFUSE	P33-TEMP	WMSP temp operand (temp: sp@70166E42+2 words + (+2*>>2((N[(fp+238)]+4))+2*>>2((N[(fp+238)]+5))))		
70167049	WCMV	70167049	DISPLAY_SCREEN	ASSIGN-FROM-TEMP	a	REFUSE	P33-TEMP	WMSP temp operand (temp: sp@70166E42+2 words + (+2*>>2((N[(fp+0X26A)]+N[(fp+0X3E6)]+phi((-N[(fp+0X3E6)]+84), N[(fp+10)])+3))+2*>>2((N[(fp+0X26A)]+N[(fp+0X3E6)]+phi((-N[(fp+0X3E6)]+84), N[(fp+10)])+4))))		
70167081	WCMP	7016707B	DISPLAY_SCREEN	-	-	REFUSE	P32-SUBSTR	operand is a phi/min (SUBSTR with a computed length): phi(wcmv.src_left@70167049, (wcmv.src_left@70167049-1))		
7016711E	WCMV	7016711E	DISPLAY_SCREEN	ASSIGN-STR-MIN	a	REFUSE	P32-CAPACITY	dst_count is min(chain total, const), not min(const, source length): phi((N[(fp+18)]+4), 39)		
7016713B	WCMP	70167135	DISPLAY_SCREEN	-	-	REFUSE	P32-RESIDUE	residue of wcmv@70167127 used as an operand		
70167226	WCMV	7016721C	DISPLAY_SCREEN	ASSIGN-LIT-VARYING	a	EMIT			7016721C 7016721E 7016721F 70167221 70167223	[@wp(ac3, 1056), 39 varying] = [@0x7015155A:0, "                                       "]
70167250	WCMP	70167249	DISPLAY_SCREEN	-	-	EMIT			7016724A 7016724D	ac1 = cmp([@0x70000C34, varying], [@0x70000C44, varying])
70167281	WCMP	7016726D	DISPLAY_SCREEN	-	-	EMIT			70167279 7016727C 7016727E	ac1 = cmp([@0x70000C34, varying], [@0x70166A7D:0, 0])
7016728F	WCMV	70167285	DISPLAY_SCREEN	ASSIGN-LIT-VARYING	a	EMIT			70167285 70167287 70167288 7016728A 7016728C	[@wp(ac3, 1056), 39 varying] = [@0x7015155A:0, "                                       "]
701672EB	WCMV	701672EB	DISPLAY_SCREEN	ASSIGN-STR-MIN	a	REFUSE	P32-CAPACITY	dst_count is min(chain total, const), not min(const, source length): phi((N[0x70000C34]+6), 39)		
701674D1	WCMV	701674C8	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			701674C8 701674CA 701674CB 701674CD 701674CF	[@wp(ac3, 32), 11 varying] = [@0x70167435:0, "\x14INVENTORY\x15"]
701676E5	WCMV	701676E5	DISPLAY_INVENTORY	ASSIGN-STR-MIN	c	REFUSE	P32-CAPACITY	dst_count is min(chain total, const), not min(const, source length): phi((N[(fp+6)]+1), 30)		
70167728	WCMV	70167728	DISPLAY_INVENTORY	ASSIGN-STR-MIN	c	REFUSE	P32-CAPACITY	dst_count is min(chain total, const), not min(const, source length): phi((N[(fp+6)]+1), 30)		
701677D1	WCMV	701677C0	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			701677C8 701677CA 701677CB 701677CD 701677CF	[@wp(ac3, 44), 19 varying] = [@0x70167427:0, "Nothing            "]
70167848	WCMV	7016783E	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			7016783E 70167840 70167841 70167843 70167845	[@wp(ac3, 44), 19 varying] = [@0x7015155A:0, "                   "]
70167916	WCMV	701678E2	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+N[(fp+6)]+10) is not a constant or a length word		
7016798D	WCMV	7016796E	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+8) is not a constant or a length word		
701679B4	WCMV	701679AB	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			701679AB 701679AD 701679AE 701679B0 701679B2	[@wp(ac3, 44), 19 varying] = [@0x70167411:0, "Thy purse is empty\x0B"]
70167A46	WCMV	70167A27	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+18) is not a constant or a length word		
70167ABB	WCMV	70167A9C	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+20) is not a constant or a length word		
70167B52	WCMV	70167B33	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+8) is not a constant or a length word		
70167BC3	WCMV	70167BA4	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+14) is not a constant or a length word		
70167C28	WCMV	70167C09	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+13) is not a constant or a length word		
70167CBF	WCMV	70167CA0	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+19) is not a constant or a length word		
70167CE6	WCMV	70167CDD	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70167CDD 70167CDF 70167CE0 70167CE2 70167CE4	[@wp(ac3, 44), 24 varying] = [@0x701673D3:0, "You have no castles yet\x0B"]
70167D5F	WCMV	70167D40	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+15) is not a constant or a length word		
70167D86	WCMV	70167D7D	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70167D7D 70167D7F 70167D80 70167D82 70167D84	[@wp(ac3, 44), 30 varying] = [@0x701673BB:0, "You havn't slain a dragon yet\x0B"]
70167E77	WCMV	70167E6E	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70167E6E 70167E70 70167E71 70167E73 70167E75	[@wp(ac3, 6), 8 varying] = [@0x701673B7:0, "Rings: \x0B"]
70167FEF	WCMV	70167FC1	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+11) is not a constant or a length word		
70168067	WCMV	70168048	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+60)]+10) is not a constant or a length word		
701680A4	WCMV	70168099	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	b	EMIT			70168099 7016809B 7016809C 7016809F 701680A2	[@0x7000021C, 19 varying] = [@0x70167395:0, "flying on a pegasus"]
701680BC	WCMV	701680B1	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	b	EMIT			701680B1 701680B3 701680B4 701680B7 701680BA	[@0x7000021C, 16 varying] = [@0x7016738D:0, "exploring a cave"]
701680D4	WCMV	701680C9	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	b	EMIT			701680C9 701680CB 701680CC 701680CF 701680D2	[@0x7000021C, 22 varying] = [@0x70167381:0, "at home in your castle"]
701680EB	WCMV	701680E0	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	b	EMIT			701680E0 701680E2 701680E3 701680E6 701680E9	[@0x7000021C, 14 varying] = [@0x70167379:0, "sailing a boat"]
7016816B	WCMP	70168150	DISPLAY_INVENTORY	-	-	EMIT			70168162 70168163 70168164 70168166 70168169	ac1 = cmp([@((sx16(M16[R[wp(ac3, -12)]]) * 686) + M32[0x70000210] - 62), varying], [@0x7000021C, varying])
7016817F	WCMV	70168176	DISPLAY_INVENTORY	ASSIGN-STR-VARYING-PAD	b	EMIT			70168176 70168178 7016817A 7016817C	[@((sx16(M16[R[wp(ac3, -12)]]) * 686) + M32[0x70000210] - 62), 130 varying] = [@0x7000021C, varying]
70168188	WCMP	70168176	DISPLAY_INVENTORY	-	-	EMIT			70168180 70168183 70168185	ac1 = cmp([@0x7000021C, varying], [@0x70167425:0, 0])
701681AD	WCMV	7016818C	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[0x7000021C]+9) is not a constant or a length word		
7016829E	WCMV	70168295	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70168295 70168297 70168298 7016829A 7016829C	[@wp(ac3, 32), 5 varying] = [@0x70167369:0, "Boots"]
701682E1	WCMV	701682D8	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			701682D8 701682DA 701682DB 701682DD 701682DF	[@wp(ac3, 32), 5 varying] = [@0x70167365:0, "Armor"]
70168366	WCMV	7016835D	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			7016835D 7016835F 70168360 70168362 70168364	[@wp(ac3, 44), 16 varying] = [@0x7016735D:0, "Sceptor of Loric"]
7016837C	WCMV	70168373	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70168373 70168375 70168376 70168378 7016837A	[@wp(ac3, 32), 13 varying] = [@0x70167355:0, "A magic shard"]
70168391	WCMV	70168388	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70168388 7016838A 7016838B 7016838D 7016838F	[@wp(ac3, 44), 17 varying] = [@0x7016734B:0, "Dark Lord's Staff"]
701683D8	WCMV	701683CF	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			701683CF 701683D1 701683D2 701683D4 701683D6	[@wp(ac3, 44), 27 varying] = [@0x7016733D:0, "You have a catapult in tow\x0B"]
7016847B	WCMV	70168472	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70168472 70168474 70168475 70168477 70168479	[@wp(ac3, 6), 5 varying] = [@0x70167339:0, "North"]
70168496	WCMV	7016848D	DISPLAY_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			7016848D 7016848F 70168490 70168492 70168494	[@wp(ac3, 6), 5 varying] = [@0x70167333:0, "South"]
701684F9	WCMV	701684D6	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+6)]+34) is not a constant or a length word		
701685B6	WCMV	701685AB	DISPLAY_FLASK	ASSIGN-LIT-VARYING	a	EMIT			701685AD 701685AF 701685B0 701685B2 701685B4	[@wp(ac3, 6), 21 varying] = [@0x70168525:0, "\x0BThe flask contains:\x0A"]
7016863B	WCMV	70168602	DISPLAY_FLASK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+11*N[(fp+2)]-0XFFFF26E)]+6) is not a constant or a length word		
70168681	WCMV	70168678	DISPLAY_FLASK	ASSIGN-LIT-VARYING	a	EMIT			70168678 7016867A 7016867B 7016867D 7016867F	[@wp(ac3, 6), 13 varying] = [@0x70168517:0, "\x0B\x17\x0B\x17\x0B\x17\x0B\x17\x0B\x17\x0B\x17\x0B"]
70168A62	WCMV	70168A59	DROP	ASSIGN-LIT-VARYING	a	EMIT			70168A59 70168A5B 70168A5C 70168A5E 70168A60	[@wp(ac3, 22), 39 varying] = [@0x70168999:0, "\x0BHit space bar to release the catapult."]
70168AB3	WCMV	70168AAA	DROP	ASSIGN-LIT-VARYING	a	EMIT			70168AAA 70168AAC 70168AAD 70168AAF 70168AB1	[@wp(ac3, 48), 51 varying] = [@0x7016897F:0, "\x0BHit space bar at object to drop, or escape to exit"]
70168B2B	WCMV	70168B17	DROP	ASSIGN-LIT-VARYING	a	EMIT			70168B21 70168B23 70168B25 70168B27 70168B29	[@wp(ac3, 48), 44 varying] = [@0x70168965:0, "\x0BThe flask breaks and the contents are lost!"]
70168B50	WCMV	70168B47	DROP	ASSIGN-LIT-VARYING	a	EMIT			70168B47 70168B49 70168B4A 70168B4C 70168B4E	[@wp(ac3, 48), 51 varying] = [@0x7016894B:0, "\x0BThe book magically disappears in a cloud of smoke!"]
70168C40	WCMV	70168C12	DROP	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (+23*N[(fp+7)]+W[0x70000214]+52) is not a constant or a length word		
70168CBC	WCMV	70168CB3	DROP	ASSIGN-LIT-VARYING	a	EMIT			70168CB3 70168CB5 70168CB6 70168CB8 70168CBA	[@wp(ac3, 48), 52 varying] = [@0x70168915:0, "\x0BOnly individual items may be dropped in the castle."]
70168D53	WCMV	70168D4A	DROP	ASSIGN-LIT-VARYING	a	EMIT			70168D4A 70168D4C 70168D4D 70168D4F 70168D51	[@wp(ac3, 22), 20 varying] = [@0x7016890B:0, "\x0BThe castle is full!"]
70168DBF	WCMV	70168DB6	DROP	ASSIGN-LIT-VARYING	a	EMIT			70168DB6 70168DB8 70168DB9 70168DBB 70168DBD	[@wp(ac3, 22), 41 varying] = [@0x701688F5:0, "\x0BYou can not control that many catapults."]
70168E07	WCMV	70168DFE	DROP	ASSIGN-LIT-VARYING	a	EMIT			70168DFE 70168E00 70168E01 70168E03 70168E05	[@wp(ac3, 22), 34 varying] = [@0x701688E3:0, "\x0BYou can not put a catapult there."]
70169051	WCMV	70169048	DROP	ASSIGN-LIT-VARYING	a	EMIT			70169048 7016904A 7016904B 7016904D 7016904F	[@wp(ac3, 48), 47 varying] = [@0x701688CB:0, "\x0BDo you consider this the bowels of the earth?\x0A"]
701690CF	WCMV	701690C6	DROP	ASSIGN-LIT-VARYING	a	EMIT			701690C6 701690C8 701690C9 701690CB 701690CD	[@wp(ac3, 48), 43 varying] = [@0x701688B5:0, "\x0BThe ancient magic of Terrak prevents you!\x0A"]
7016917A	WCMV	70169171	DROP	ASSIGN-LIT-VARYING	a	EMIT			70169171 70169173 70169174 70169176 70169178	[@wp(ac3, 48), 43 varying] = [@0x7016889F:0, "\x0BHit space bar to drop the Sceptor of Loric"]
701691E9	WCMV	701691E0	DROP	ASSIGN-LIT-VARYING	a	EMIT			701691E0 701691E2 701691E3 701691E5 701691E7	[@wp(ac3, 48), 44 varying] = [@0x70168889:0, "\x0BHit space bar to drop the Dark Lord's staff"]
70169251	WCMV	70169248	DROP	ASSIGN-LIT-VARYING	a	EMIT			70169248 7016924A 7016924B 7016924D 7016924F	[@wp(ac3, 22), 38 varying] = [@0x70168875:0, "\x0BHit space bar to drop the magic shard"]
701692CB	WCMV	701692C2	DROP	ASSIGN-LIT-VARYING	a	EMIT			701692C2 701692C4 701692C5 701692C7 701692C9	[@wp(ac3, 22), 42 varying] = [@0x7016885F:0, "\x0BYou have made a serious accounting error!"]
70169402	WCMV	701693F9	DROP	ASSIGN-LIT-VARYING	a	EMIT			701693F9 701693FB 701693FC 701693FE 70169400	[@wp(ac3, 22), 42 varying] = [@0x7016885F:0, "\x0BYou have made a serious accounting error!"]
